times,lambdas
0.000000,0.129404
0.008708,0.129404
0.018175,0.129404
0.028465,0.129404
0.039652,0.189201
0.051813,0.189201
0.065033,0.193866
0.079405,0.193866
0.095028,0.401481
0.112011,0.401481
0.130473,0.515009
0.150543,0.515009
0.172360,0.793970
0.196078,0.793970
0.221861,1.507254
0.249889,1.507254
0.280358,2.457389
0.313480,2.457389
0.349486,2.232605
0.388628,2.232605
0.431178,2.005451
0.477434,2.005451
0.527717,2.221338
0.582380,2.221338
0.641802,2.415075
0.706399,2.415075
0.776621,2.476635
0.852959,2.476635
0.935944,2.361250
1.026155,2.361250
1.124222,2.153605
1.230829,2.153605
1.346719,1.977348
1.472701,1.977348
1.609654,1.882035
1.758532,1.882035
1.920376,1.858808
2.096313,1.858808
2.287570,1.790752
2.495483,1.790752
2.721501,1.673727
2.967200,1.673727
3.234296,1.566224
3.524651,1.566224
3.840290,1.521229
4.183415,1.521229
4.556420,1.593271
4.961907,1.593271
5.402704,1.743140
5.881887,1.743140
6.402797,1.864875
6.969069,1.864875
7.584652,2.006810
8.253841,2.006810
8.981304,2.198133
9.772115,2.198133
10.631791,2.198133
11.566329,2.198133
12.582248,1.988296
13.686633,1.988296
14.887191,1.988296
16.192294,1.988296
17.611047,1.988296
19.153347,1.988296
